start_time,start_station_id,end_station_id,start_lat,start_lng,end_lat,end_lng,avgTemp,value,bike_rides_daily
2022-03-17,5997.628519511707,5990.983051213801,40.73896952173825,-73.97712699368256,40.73877460764357,-73.97683411203877,8.2,1.0,49970.0
2022-03-18,6027.892443492615,6015.645703650155,40.740216435299416,-73.97677009796723,40.739789778377514,-73.97710291014246,13.9,1.0,92687.0
2022-03-19,5963.208866062929,5949.341824883251,40.73797354350383,-73.97690411849588,40.73746739316147,-73.97728464747843,13.1,1.0,77738.0
2022-03-20,5966.759043704555,5962.001256085239,40.738140744823745,-73.97616032311498,40.737964098401946,-73.97639276193965,14.3,1.0,65325.0
2022-03-21,6017.051921336487,6015.3565438462165,40.739759260026744,-73.97677176834907,40.739701693156555,-73.97677627507433,10.4,1.0,73147.0
2022-03-22,6035.648370425552,6033.243146726622,40.740328789224286,-73.97700682107437,40.740248905900266,-73.97702994401538,10.7,1.0,75173.0
2022-03-23,6051.51325298035,6047.066884167599,40.740925739751574,-73.97676730795797,40.74075004215929,-73.97714946378207,7.2,1.0,60816.0
2022-03-24,6009.608385806987,6009.581151266197,40.7393600888716,-73.97760864789838,40.73936116054665,-73.97756310942506,5.7,1.0,45771.0
2022-03-25,6031.431927957319,6020.131523762403,40.74028054336907,-73.97680103020602,40.739904199768816,-73.97716619639748,9.6,1.0,74789.0
2022-03-26,5971.942880203635,5962.377227046447,40.73829773748481,-73.97628237000573,40.73794513437064,-73.97653022897022,10.4,1.0,62072.0
2022-03-27,5990.215460153677,5984.389017563118,40.738879029973724,-73.975527826574,40.73866901768506,-73.97586392937912,5.9,1.0,45550.0
2022-03-28,6058.690158775981,6057.624959449883,40.74103812182297,-73.97664454858383,40.74099461122787,-73.97672534745085,-1.5,1.0,38104.0
2022-03-29,6036.295533792021,6033.365616862988,40.74027300282183,-73.97725633310151,40.74015595517457,-73.97730572978769,-1.2,1.0,48399.0
2022-03-30,6038.050917332288,6032.879556140036,40.74041584215803,-73.97715846846448,40.740227281251876,-73.97720310950835,2.6,1.0,61221.0
2022-03-31,6036.906819804054,6035.857887983903,40.740339317432664,-73.97727301896926,40.740310452112766,-73.97736128138447,9.9,1.0,72571.0
